Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,147.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 3rd Cycle,Industry/Construction,Industry/Construction,134.4,Yes,No,No,Yes,Male,Yes,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,5,Communication Design,Daytime,Secondary education,117.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Services/Security/Sellers,Services/Security/Sellers,131.0,Yes,No,Yes,No,Male,No,21,No,0,6,6,1,14.0,0,0,6,7,0,0.0,7,9.4,-0.8,-3.12,Dropout
Single,Change of institution/course,1,Social Service,Daytime,Secondary education,141.0,Portuguese,12th Yr Schooling or Eq.,12th Yr Schooling or Eq.,Services/Security/Sellers,Unskilled Workers,125.0,No,No,No,Yes,Male,No,22,No,0,6,6,0,0.0,0,0,6,7,0,0.0,0,11.1,0.6,2.02,Dropout
Single,3rd phase - general contingent,1,Oral Hygiene,Daytime,Secondary education,133.1,Portuguese,Degree,Basic Ed 3rd Cycle,Intellectual/Scientific,Machine Operators,106.0,Yes,No,No,Yes,Male,No,21,No,0,7,8,7,12.375,0,0,7,11,5,12.583333333333334,0,8.9,1.4,3.51,Graduate
Single,Over 23 years old,1,Nursing,Daytime,Secondary education,133.1,Portuguese,Basic Ed 2nd Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Unskilled Workers,128.0,Yes,No,No,No,Male,No,32,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,16.2,0.3,-0.92,Dropout
Single,Holders of other higher courses,1,Agronomy,Daytime,Higher education - degree,120.0,Portuguese,12th Yr Schooling or Eq.,Basic Ed 3rd Cycle,Administrative staff,Legislative/Executive/Directors,120.0,Yes,No,No,Yes,Male,No,27,No,14,18,21,18,11.421052631578949,0,10,13,16,13,11.076923076923077,1,15.5,2.8,-4.06,Graduate
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,148.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Machine Operators,134.8,Yes,No,No,Yes,Male,No,18,No,0,7,7,6,13.35,0,0,7,7,6,13.35,0,7.6,2.6,0.32,Graduate
Single,Over 23 years old,1,Communication Design,Daytime,Secondary education,130.0,Portuguese,12th Yr Schooling or Eq.,12th Yr Schooling or Eq.,Services/Security/Sellers,Technicians,112.0,Yes,No,No,Yes,Male,Yes,24,No,0,6,6,6,15.0,0,0,6,6,2,16.0,0,15.5,2.8,-4.06,Graduate
Single,1st phase - general contingent,1,Equinculture,Daytime,Secondary education,120.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Legislative/Executive/Directors,Unskilled Workers,116.1,Yes,No,No,Yes,Male,No,22,No,0,5,9,2,10.5,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,Change of course,1,Equinculture,Daytime,Secondary education,120.0,Portuguese,Bachelor's Degree,Degree,Technicians,Intellectual/Scientific,120.0,Yes,No,No,No,Male,No,22,No,0,6,0,0,0.0,0,0,4,6,0,0.0,2,10.8,1.4,1.74,Dropout
Single,1st phase - general contingent,3,Management,Daytime,Secondary education,133.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Services/Security/Sellers,119.7,Yes,No,No,Yes,Male,No,19,No,0,5,8,5,13.25,0,0,5,6,5,11.833333333333334,0,13.9,-0.3,0.79,Graduate
Single,2nd phase - general contingent,6,Informatics Engineering,Daytime,Secondary education,129.0,Portuguese,Basic Ed 1st Cycle,2nd Yr Complementary HS,Administrative staff,Other,117.1,Yes,No,No,Yes,Male,No,19,No,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
Single,1st phase - general contingent,2,Veterinary Nursing,Daytime,Secondary education,118.0,Portuguese,12th Yr Schooling or Eq.,Basic Ed 3rd Cycle,Technicians,Technicians,112.4,Yes,No,No,Yes,Male,No,21,No,0,5,7,4,11.5,0,0,5,15,3,10.6,4,10.8,1.4,1.74,Enrolled
Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,140.0,Portuguese,12th Yr Schooling or Eq.,12th Yr Schooling or Eq.,Intellectual/Scientific,Industry/Construction,131.0,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,8,13.88125,0,0,8,8,8,13.88125,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general contingent,2,Tourism,Daytime,Secondary education,127.0,Portuguese,Degree,Basic Ed 3rd Cycle,Technicians,Armed Forces,130.9,Yes,No,No,Yes,Female,No,18,No,0,6,8,6,11.333333333333334,0,0,6,8,5,12.6,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,131.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Unskilled Workers,134.9,Yes,No,Yes,Yes,Female,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout
Single,2nd phase - general contingent,1,Social Service,Daytime,Secondary education,132.0,Portuguese,12th Yr Schooling or Eq.,Basic Ed 3rd Cycle,Administrative staff,Unskilled Workers,127.1,Yes,No,No,Yes,Female,No,19,No,0,6,7,6,12.857142857142858,0,0,6,7,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate
Single,2nd phase - general contingent,5,Journalism and Communication,Daytime,Secondary education,113.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Cleaning workers,Food/clothing/woodworking,110.2,Yes,No,Yes,Yes,Female,No,19,No,0,6,6,5,11.6,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Graduate
Single,2nd phase - general contingent,1,Tourism,Daytime,Secondary education,115.0,Portuguese,Other - 11th Yr,12th Yr Schooling or Eq.,Unskilled Workers,Technicians,108.7,Yes,No,No,Yes,Female,Yes,18,No,0,6,9,5,11.4,0,0,6,6,6,11.333333333333334,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Equinculture,Daytime,Secondary education,133.1,Portuguese,12th Yr Schooling or Eq.,12th Yr Schooling or Eq.,Technicians,Unskilled Workers,138.0,Yes,No,No,Yes,Female,No,20,No,0,6,11,6,13.333333333333334,0,0,6,10,6,13.0,0,16.2,0.3,-0.92,Enrolled
Single,Technological specialization diploma holders,1,Communication Design,Daytime,Technological specialization course,150.0,Portuguese,Other - 11th Yr,Basic Ed 1st Cycle,Technicians,Unskilled Workers,147.7,No,No,Yes,Yes,Female,Yes,22,No,2,7,7,7,13.571428571428571,0,5,9,9,9,13.77777777777778,0,12.4,0.5,1.79,Graduate
Married,Over 23 years old,1,Oral Hygiene,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Unskilled Workers,123.0,No,No,No,Yes,Female,No,31,No,0,7,13,6,11.833333333333334,0,0,7,8,7,12.228571428571428,0,12.4,0.5,1.79,Graduate
Single,2nd phase - general contingent,1,Basic Education,Daytime,Secondary education,141.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Machine Operators,142.8,No,No,No,Yes,Female,Yes,19,No,0,7,7,7,14.428571428571429,0,0,7,7,7,14.142857142857142,0,16.2,0.3,-0.92,Graduate
Single,1st phase - general contingent,2,Animation and Multimedia Design,Daytime,Secondary education,140.0,Portuguese,12th Yr Schooling or Eq.,Degree,Technicians,Technicians,138.3,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Enrolled
Single,1st phase - general contingent,2,Tourism,Daytime,Secondary education,136.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Industry/Construction,125.2,Yes,No,No,Yes,Female,Yes,18,No,0,6,8,6,12.285714285714286,0,0,6,9,5,12.4,0,8.9,1.4,3.51,Graduate
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,140.0,Portuguese,Other - 11th Yr,12th Yr Schooling or Eq.,Legislative/Executive/Directors,Other,141.8,No,No,No,Yes,Female,No,21,No,0,5,7,5,14.4,0,0,5,5,5,13.8,0,7.6,2.6,0.32,Graduate
Single,2nd phase - general contingent,5,Nursing,Daytime,Secondary education,143.0,Portuguese,Basic Ed 2nd Cycle,12th Yr Schooling or Eq.,Unskilled Workers,Industry/Construction,130.6,Yes,No,No,Yes,Female,Yes,18,No,0,7,8,7,13.15,0,0,8,9,8,15.06875,0,13.9,-0.3,0.79,Graduate
Single,Technological specialization diploma holders,1,Management,Daytime,Technological specialization course,130.0,Cape Verdean,Bachelor's Degree,Basic Ed 1st Cycle,Intellectual/Scientific,Machine Operators,130.0,No,No,Yes,No,Male,No,25,Yes,0,5,6,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,International student (bachelor),1,Informatics Engineering,Daytime,Secondary education,133.1,Brazilian,12th Yr Schooling or Eq.,Degree,Services/Security/Sellers,Machine Operators,100.0,No,No,Yes,Yes,Male,No,21,Yes,0,5,5,0,0.0,0,0,6,8,0,0.0,0,11.1,0.6,2.02,Dropout
Single,3rd phase - general contingent,2,Nursing,Daytime,Secondary education,129.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Services/Security/Sellers,Services/Security/Sellers,119.0,Yes,No,No,Yes,Female,Yes,19,No,0,8,8,7,12.342857142857143,0,0,8,8,7,12.342857142857143,0,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,132.0,Portuguese,Basic Ed 2nd Cycle,12th Yr Schooling or Eq.,Unskilled Workers,Unskilled Workers,124.3,Yes,No,No,Yes,Female,No,19,No,0,6,6,5,12.2,0,0,6,7,5,10.8,0,10.8,1.4,1.74,Enrolled
Single,2nd phase - general contingent,1,Tourism,Daytime,Secondary education,118.0,Portuguese,7th Yr (Old),Unknown,Services/Security/Sellers,Student,122.2,Yes,No,No,Yes,Female,No,22,No,0,6,10,4,10.5,0,0,6,14,1,11.0,0,7.6,2.6,0.32,Dropout
Single,International student (bachelor),1,Management,Daytime,Secondary education,150.0,Portuguese,Basic Ed 2nd Cycle,12th Yr Schooling or Eq.,Unskilled Workers,Legislative/Executive/Directors,150.0,No,No,No,Yes,Male,No,19,No,0,5,5,5,10.6,0,0,5,8,5,11.6,0,12.4,0.5,1.79,Graduate
Single,Over 23 years old,1,Social Service (evening attendance),Evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Services/Security/Sellers,135.5,No,No,No,Yes,Female,No,58,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout
Single,1st phase - special contingent (Madeira Island),2,Social Service,Daytime,Secondary education,122.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled Workers,Industry/Construction,127.3,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,4,11.25,0,0,6,6,6,12.0,0,10.8,1.4,1.74,Graduate
Single,Change of course,1,Advertising and Marketing Management,Daytime,Secondary education,127.0,Cape Verdean,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,127.0,Yes,No,No,Yes,Male,No,23,Yes,3,9,11,6,10.5,0,4,10,10,10,11.7,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,122.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,126.9,Yes,No,No,Yes,Female,Yes,19,No,0,6,11,4,11.0,0,0,6,11,3,11.666666666666666,0,9.4,-0.8,-3.12,Enrolled
Single,3rd phase - general contingent,3,Nursing,Daytime,Secondary education,131.0,Portuguese,Basic Ed 3rd Cycle,12th Yr Schooling or Eq.,Administrative staff,Industry/Construction,127.5,Yes,No,No,Yes,Female,No,18,No,0,7,7,7,13.457142857142856,0,0,8,8,8,14.5125,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general contingent,2,Veterinary Nursing,Daytime,Secondary education,130.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Other,Other,122.0,No,No,No,Yes,Female,No,20,No,0,5,6,5,12.6,0,0,5,8,4,12.333333333333334,0,7.6,2.6,0.32,Graduate
Single,2nd phase - general contingent,5,Veterinary Nursing,Daytime,Secondary education,130.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Other,Industry/Construction,115.8,No,No,No,No,Female,No,18,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,2nd phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,130.0,Portuguese,Degree,Basic Ed 3rd Cycle,Services/Security/Sellers,Services/Security/Sellers,121.6,No,No,No,Yes,Female,No,18,No,0,6,6,6,13.666666666666666,0,0,6,8,5,13.6,0,8.9,1.4,3.51,Graduate
Single,2nd phase - general contingent,4,Management,Daytime,Secondary education,122.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Services/Security/Sellers,Industry/Construction,116.4,Yes,No,Yes,Yes,Female,Yes,18,No,0,5,5,5,11.6,0,0,5,5,5,11.8,0,11.1,0.6,2.02,Graduate
Single,Over 23 years old,1,Equinculture,Daytime,Secondary education,114.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Armed Forces,120.0,No,No,No,Yes,Female,No,24,No,0,6,9,6,12.571428571428571,0,0,6,10,5,12.833333333333334,0,11.1,0.6,2.02,Dropout
Single,2nd phase - general contingent,4,Basic Education,Daytime,Secondary education,143.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Services/Security/Sellers,127.3,Yes,No,No,Yes,Female,No,18,No,0,6,7,5,11.8,0,0,6,7,5,11.4,0,10.8,1.4,1.74,Dropout
Single,1st phase - general contingent,3,Management,Daytime,Secondary education,127.0,Portuguese,12th Yr Schooling or Eq.,Basic Ed 2nd Cycle,Services/Security/Sellers,Industry/Construction,123.5,Yes,No,No,Yes,Female,Yes,19,No,0,5,5,5,11.6,0,0,5,11,3,12.666666666666666,0,9.4,-0.8,-3.12,Enrolled
Single,2nd phase - general contingent,3,Social Service,Daytime,Secondary education,141.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Industry/Construction,125.6,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,11.333333333333334,0,0,6,6,6,11.833333333333334,0,8.9,1.4,3.51,Graduate
Single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,129.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Farmers/Fishers,Farmers/Fishers,118.5,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,10.666666666666666,0,0,6,6,6,11.5,0,7.6,2.6,0.32,Graduate
Single,1st phase - general contingent,2,Equinculture,Daytime,Secondary education,140.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,129.5,Yes,No,No,Yes,Female,No,18,No,0,5,10,4,13.5,1,0,5,5,5,13.4,0,12.7,3.7,-1.7,Enrolled
Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,137.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Services/Security/Sellers,Services/Security/Sellers,134.6,Yes,No,No,Yes,Female,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
Single,Technological specialization diploma holders,1,Veterinary Nursing,Daytime,Secondary education,140.0,Portuguese,Master's,Master's,Intellectual/Scientific,Farmers/Fishers,140.0,No,No,No,Yes,Female,No,22,No,2,6,9,6,13.333333333333334,0,1,6,9,4,11.5,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,143.0,Portuguese,Bachelor's Degree,Basic Ed 1st Cycle,Legislative/Executive/Directors,Legislative/Executive/Directors,133.2,Yes,No,No,Yes,Female,No,19,No,0,6,9,5,13.4,0,0,6,16,2,13.5,0,10.8,1.4,1.74,Enrolled
Widower,2nd phase - general contingent,1,Social Service,Daytime,Secondary education,138.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,133.5,Yes,No,No,Yes,Female,Yes,21,No,0,6,8,3,10.2,0,0,6,13,4,12.25,0,12.7,3.7,-1.7,Enrolled
Single,2nd phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,120.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Industry/Construction,117.9,Yes,No,No,Yes,Female,Yes,21,No,0,6,6,5,13.0,0,0,6,7,6,12.833333333333334,0,8.9,1.4,3.51,Graduate
Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,144.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Services/Security/Sellers,Industry/Construction,128.0,Yes,No,No,Yes,Female,Yes,18,No,0,8,11,7,12.90857142857143,0,0,8,11,7,12.90857142857143,0,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,5,Basic Education,Daytime,Secondary education,123.0,Portuguese,12th Yr Schooling or Eq.,Other - 11th Yr,Administrative staff,Unskilled Workers,113.2,Yes,No,No,Yes,Female,No,20,No,0,6,12,4,12.0,0,0,6,11,1,10.0,0,10.8,1.4,1.74,Dropout
Single,1st phase - general contingent,3,Tourism,Daytime,Secondary education,129.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Industry/Construction,Industry/Construction,122.0,Yes,No,No,Yes,Female,Yes,18,No,0,6,9,6,10.833333333333334,0,0,6,8,5,11.0,0,7.6,2.6,0.32,Enrolled
Single,1st phase - special contingent (Madeira Island),3,Communication Design,Daytime,Secondary education,152.0,Portuguese,12th Yr Schooling or Eq.,Basic Ed 2nd Cycle,Administrative staff,Machine Operators,156.9,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,15.333333333333334,0,0,6,9,6,15.833333333333334,0,12.7,3.7,-1.7,Graduate
Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,130.0,Portuguese,12th Yr Schooling or Eq.,Basic Ed 2nd Cycle,Unskilled Workers,Unskilled Workers,125.1,Yes,No,No,Yes,Female,Yes,18,No,0,7,9,6,12.816666666666668,0,0,8,11,6,12.875,0,11.1,0.6,2.02,Enrolled
Single,International student (bachelor),1,Management,Daytime,Secondary education,133.1,Brazilian,Specialized Studies,12th Yr Schooling or Eq.,Technicians,Administrative staff,100.0,No,No,Yes,No,Male,No,26,Yes,6,7,7,6,13.0,0,2,6,6,2,14.0,0,11.1,0.6,2.02,Dropout
Single,International student (bachelor),1,Informatics Engineering,Daytime,Secondary education,160.0,Turkish,12th Yr Schooling or Eq.,Degree,Accounting/financial/registry operators,Sellers,160.0,No,No,Yes,Yes,Female,No,19,Yes,0,6,11,2,13.5,1,0,5,11,2,11.0,0,8.9,1.4,3.51,Enrolled
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,140.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,101.0,No,No,No,Yes,Female,No,35,No,0,6,7,6,12.5,0,0,6,6,6,12.166666666666666,0,15.5,2.8,-4.06,Graduate
Single,3rd phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,133.0,Portuguese,12th Yr Schooling or Eq.,12th Yr Schooling or Eq.,Unskilled Workers,Unskilled Workers,121.5,Yes,No,No,Yes,Female,Yes,19,No,0,6,7,6,13.0,0,0,6,6,6,14.333333333333334,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,138.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Unskilled Workers,Farmers/Fishers,126.8,Yes,No,No,Yes,Male,No,18,No,0,5,6,4,11.75,0,0,5,10,5,12.571428571428571,1,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,5,Advertising and Marketing Management,Daytime,Secondary education,142.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Industry/Construction,Technicians,132.9,No,No,No,Yes,Male,No,19,No,0,5,5,4,12.5,0,0,5,5,4,14.25,0,7.6,2.6,0.32,Graduate
Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,115.0,Portuguese,12th Yr Schooling or Eq.,12th Yr Schooling or Eq.,Unskilled Workers,Unskilled Workers,134.3,Yes,No,No,Yes,Male,No,25,No,16,17,19,17,11.61111111111111,0,14,17,22,17,12.055555555555555,0,12.4,0.5,1.79,Graduate
Single,2nd phase - general contingent,6,Tourism,Daytime,Secondary education,125.0,Portuguese,12th Yr Schooling or Eq.,12th Yr Schooling or Eq.,Administrative staff,Technicians,120.5,Yes,No,No,Yes,Male,No,18,No,0,6,6,6,14.0,0,0,6,6,6,14.666666666666666,0,11.1,0.6,2.02,Graduate
Single,2nd phase - general contingent,1,Agronomy,Daytime,Secondary education,170.0,Portuguese,12th Yr Schooling or Eq.,Master's,Unskilled Workers,Services/Security/Sellers,144.1,Yes,No,Yes,No,Male,No,26,No,0,6,8,0,0.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout
Single,Change of course,1,Management (evening attendance),Evening,Secondary education,140.0,Portuguese,12th Yr Schooling or Eq.,12th Yr Schooling or Eq.,Farmers/Fishers,Farmers/Fishers,100.0,No,No,No,Yes,Male,No,34,No,0,5,5,5,13.8,0,0,5,6,5,13.833333333333334,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general contingent,2,Tourism,Daytime,Secondary education,110.0,Portuguese,Master's,Basic Ed 3rd Cycle,Administrative staff,Technicians,114.8,Yes,No,No,No,Male,No,18,No,0,5,6,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,114.0,Portuguese,Degree,9th Yr Not Completed,Technicians,Services/Security/Sellers,111.9,No,No,No,No,Male,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
Single,2nd phase - general contingent,3,Informatics Engineering,Daytime,Secondary education,138.0,Portuguese,12th Yr Schooling or Eq.,Basic Ed 3rd Cycle,Administrative staff,Technicians,125.4,Yes,No,No,Yes,Male,Yes,18,No,0,5,9,4,12.25,0,0,5,9,3,12.333333333333334,0,8.9,1.4,3.51,Dropout
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,140.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Administrative staff,140.0,No,No,No,Yes,Male,No,20,No,0,6,12,3,11.5,0,0,6,12,3,13.666666666666666,0,12.4,0.5,1.79,Dropout
Single,Technological specialization diploma holders,1,Communication Design,Daytime,Technological specialization course,140.0,Portuguese,12th Yr Schooling or Eq.,Basic Ed 3rd Cycle,Administrative staff,Administrative staff,140.0,No,No,No,Yes,Male,No,25,No,2,7,9,6,12.571428571428571,0,5,9,9,9,12.555555555555555,0,16.2,0.3,-0.92,Graduate
Single,2nd phase - general contingent,1,Equinculture,Daytime,Secondary education,132.0,Portuguese,Bachelor's Degree,12th Yr Schooling or Eq.,Administrative staff,Legislative/Executive/Directors,127.8,No,No,No,Yes,Male,No,18,No,0,6,9,6,12.0,0,0,6,10,5,12.166666666666666,0,11.1,0.6,2.02,Dropout
Single,1st phase - general contingent,1,Agronomy,Daytime,Secondary education,148.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,131.6,Yes,No,No,Yes,Male,No,19,No,8,12,17,11,12.0,2,4,12,21,12,12.307692307692308,0,15.5,2.8,-4.06,Graduate
Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,132.0,Portuguese,12th Yr Schooling or Eq.,12th Yr Schooling or Eq.,Administrative staff,Legislative/Executive/Directors,119.4,Yes,No,No,Yes,Male,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
Single,3rd phase - general contingent,2,Social Service,Daytime,Secondary education,126.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Services/Security/Sellers,Industry/Construction,129.9,Yes,No,No,Yes,Male,Yes,20,No,1,7,9,6,12.0,0,2,6,6,6,11.166666666666666,0,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,1,Informatics Engineering,Daytime,Secondary education,121.0,Portuguese,Degree,12th Yr Schooling or Eq.,Intellectual/Scientific,Technicians,114.0,No,No,No,Yes,Male,No,20,No,0,5,9,4,11.6,0,0,5,7,4,12.25,2,7.6,2.6,0.32,Enrolled
Single,1st phase - general contingent,2,Management,Daytime,Secondary education,120.0,Portuguese,12th Yr Schooling or Eq.,Basic Ed 1st Cycle,Administrative staff,Unskilled Workers,113.4,Yes,No,No,Yes,Male,Yes,19,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
Single,1st phase - general contingent,1,Management,Daytime,Secondary education,123.0,Portuguese,12th Yr Schooling or Eq.,Basic Ed 3rd Cycle,Administrative staff,Services/Security/Sellers,117.8,No,No,No,Yes,Male,No,20,No,0,5,9,5,12.0,0,0,5,9,4,13.0,0,8.9,1.4,3.51,Enrolled
Single,1st phase - general contingent,6,Nursing,Daytime,Secondary education,122.0,Portuguese,12th Yr Schooling or Eq.,12th Yr Schooling or Eq.,Technicians,Industry/Construction,114.3,Yes,No,No,Yes,Male,No,18,No,0,7,8,6,13.976666666666668,0,0,8,12,6,12.041666666666666,1,11.1,0.6,2.02,Enrolled
Single,1st phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,136.0,Portuguese,Bachelor's Degree,Basic Ed 2nd Cycle,Accounting/financial/registry operators,Subsistence farmers/fishers,129.7,Yes,No,No,Yes,Male,No,19,No,0,6,10,4,12.5,0,0,6,12,1,10.0,3,16.2,0.3,-0.92,Enrolled
Single,3rd phase - general contingent,1,Management,Daytime,Secondary education,119.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Industry/Construction,Industry/Construction,112.0,Yes,No,No,No,Male,No,20,No,0,5,5,0,0.0,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
Single,Over 23 years old,1,Advertising and Marketing Management,Daytime,Secondary education,120.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Industry/Construction,Industry/Construction,140.0,No,No,No,Yes,Male,No,24,No,0,6,15,4,10.5,0,0,6,16,4,12.5,0,15.5,2.8,-4.06,Dropout
